x_km,y_km,logK_true,n_true,h_true
0,30.5,4.47669591845823,0.29854042805322,20.6958949506328
0.25,30,4.44050808922054,0.295369001006131,20.6979981297765
0.25,30.25,4.45735579796318,0.297430395112344,20.6971511112329
0.25,30.5,4.47447495034203,0.299421967210317,20.6958949506328
0.25,30.75,4.49107350158741,0.301266198803153,20.694665062092
0.25,31,4.50647516872905,0.302894303718715,20.6938687348069
0.5,30,4.43745228150869,0.296262074188016,20.6988535903726
0.5,30.25,4.45510161588644,0.298332251537061,20.6975786220648
0.5,30.5,4.4723757608865,0.300261927758815,20.6958896318804
0.5,30.75,4.48846862495948,0.301973123903863,20.6942472959342
0.5,31,4.50272927101389,0.303401060731143,20.6930770570143
0.75,29.75,4.41700097367913,0.295035248688145,20.7037493899385
0.75,30,4.43518549219741,0.297184506350663,20.7009990088208
0.75,30.25,4.45304587402164,0.299193616076859,20.6984473680221
0.75,30.5,4.46984079222998,0.300988054084074,20.6958654248525
0.75,30.75,4.48479791298272,0.302494263050835,20.6933768497583
0.75,31,4.49732818640499,0.303655271362881,20.6911167075779
0.75,31.25,4.50692140318234,0.304426592058202,20.6888951194191
0.75,38.5,4.17365267571722,0.279209252276915,17.2033587752208
0.75,38.75,4.18148296449058,0.279628141347161,17.1896362806855
0.75,39,4.19300334432852,0.2801911135663,17.1718862305805
0.75,39.25,4.20818637805579,0.280924561652694,17.1573661525935
1,29.5,4.39608738844991,0.29375354293499,20.7098122674261
1,29.75,4.41472504522967,0.295975871460497,20.7065279394339
1,30,4.43317814054741,0.298065093469725,20.7029979173329
1,30.25,4.45060058308426,0.299937701094836,20.6993929326847
1,30.5,4.46627595332029,0.301523269800278,20.6957879728803
1,30.75,4.47949569492985,0.302756089790549,20.6923063054955
1,31,4.48976347706126,0.303590928150308,20.6891298109353
1,31.25,4.49667606423158,0.303996693970608,20.686672803175
1,38,4.15409741661936,0.278457536910517,17.2564993621896
1,38.25,4.15891550434721,0.278822801993585,17.2426550636213
1,38.5,4.16744765731011,0.279303681352895,17.2171778687564
1,38.75,4.17976249174485,0.279925312324319,17.1938234059737
1,39,4.19584407339952,0.2807140216038,17.168873008162
1,39.25,4.21553709328046,0.281693155319017,17.1430090690845
1,39.5,4.2384798424911,0.282873376445801,17.1156414580403
1,48.5,4.68085289030949,0.31502305511861,14.1133363310647
1,48.75,4.75475545686719,0.319634126258722,14.1053650424229
1,49,4.82513852189525,0.324010509155924,14.0977170199199
1.25,29.5,4.39382809757583,0.294712577050278,20.7131309495539
1.25,29.75,4.41278906136114,0.296875783316091,20.7096215136767
1.25,30,4.43083994485244,0.298827093955966,20.7051402712856
1.25,30.25,4.44715554958226,0.300486687306054,20.7004010220283
1.25,30.5,4.46108449037337,0.301792626634324,20.695637968063
1.25,30.75,4.47201326789021,0.302690886324357,20.6909620418013
1.25,31,4.47955609648939,0.303150632434206,20.68642691751
1.25,31.25,4.48343113104297,0.30315661779545,20.681959373108
1.25,31.5,4.48346261877504,0.302709120738537,20.6768799888607
1.25,38,4.1449339796235,0.278484731912031,17.2704408879153
1.25,38.25,4.15415517540753,0.27902976627378,17.2544580914728
1.25,38.5,4.16728466180362,0.27971380121266,17.2291705696716
1.25,38.75,4.18428243568773,0.280562106798365,17.1999406613655
1.25,39,4.20499892780649,0.281597620490332,17.167240358075
1.25,39.25,4.22913344415355,0.282838226973679,17.1308596092592
1.25,39.5,4.25617017256583,0.284285770070663,17.0888249674436
1.25,39.75,4.28543660854435,0.28593283470753,17.0348240623926
1.25,40,4.31611863590557,0.287756634482939,16.997394273402
1.25,47.75,4.51267714876735,0.304494622512921,14.1758310564494
1.25,48,4.59016500739335,0.309360130029269,14.1614872918524
1.25,48.25,4.66799695164937,0.314246885237041,14.1424126634238
1.25,48.5,4.74426494343232,0.319028570842674,14.1213480988298
1.25,48.75,4.81723786732642,0.323588524691536,14.1055979522074
1.25,49,4.8853391863794,0.327822080255321,14.0905535885646
1.25,49.25,4.94721060005044,0.331636619211322,14.0722627167355
1.25,49.5,5.00174371385409,0.334956013691423,14.0577054184978
1.25,49.75,5.04810251579093,0.337723048716129,14.0487592093685
1.5,29.25,4.37254573119215,0.293395341532563,20.7272563435521
1.5,29.5,4.39198016327232,0.295630247451123,20.7200024356636
1.5,29.75,4.41057732343811,0.297654400640583,20.7137681889053
1.5,30,4.42754587341655,0.29938957007723,20.7076263364543
1.5,30.25,4.44211927671223,0.300764010362384,20.7015092758706
1.5,30.5,4.45373409300665,0.301727626001748,20.695458509063
1.5,30.75,4.4619011369949,0.302241630535063,20.6895072460789
1.5,31,4.46635626521316,0.302291697432104,20.6836500826597
1.5,31.25,4.46694777602172,0.301879950645496,20.6778010337967
1.5,31.5,4.46363072406545,0.301024313752769,20.6717498157229
1.5,31.75,4.4565956298219,0.299766232666197,20.665542217755
1.5,37.75,4.13167841278254,0.278189427931849,17.3249782457602
